classes,-1,211,212,213,214,221,222,223,231,232,233,234,241,242,243,244,312,313,321,322,323,331,332,333,341,342,343,411,421,431,441,511,521,531,541,611,621,631,641,651,661
-1,20389,3374,1161,169,234,1881,616,134,80,108,128,144,80,103,133,145,226,134,196,199,145,145,145,158,176,150,164,346,355,410,406,604,606,697,693,1014,952,928,957,970,955
211,0,1954,3157,4661,4467,60,8,356,4,0,0,0,0,0,0,0,2267,1839,373,20,102,0,0,0,6,0,0,11,0,134,190,0,0,0,0,0,1,0,10,0,0
212,0,0,0,297,0,0,0,23,1535,130,0,0,0,0,0,0,522,522,13,0,0,0,0,0,365,0,0,60,7,0,0,3,0,1,0,0,3,0,0,0,0
213,9,16,6,1144,112,0,25,0,0,0,0,0,1671,599,121,21,1668,1520,26,0,39,3,0,0,423,0,0,82,22,0,130,7,22,0,10,0,35,4,9,0,0
214,9,3982,3940,2664,3583,0,0,0,253,1,0,0,111,0,0,0,3976,3121,0,0,11,0,40,0,233,0,0,204,10,190,140,5,2,13,3,0,0,0,0,0,3
221,0,0,9,0,0,127,0,922,626,0,0,0,0,0,0,0,780,379,0,4,22,37,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
222,6,0,0,261,62,3,1897,1,0,0,0,0,2388,89,0,0,245,299,448,469,4,331,0,0,0,0,0,98,104,0,1,7,65,0,8,0,0,1,0,1,3
223,7,0,7,0,0,838,21,1609,931,505,0,4,5,0,0,0,56,201,136,42,397,747,0,0,0,1,0,59,35,132,45,11,32,0,0,0,0,1,0,4,0
231,0,75,439,0,3,174,0,140,841,0,0,0,0,0,0,0,371,1032,0,43,3,14,0,0,2,0,0,0,0,0,41,0,0,0,2,11,1,0,0,0,0
232,0,0,0,0,0,0,0,9,1058,1088,0,6,0,0,0,0,44,112,11,0,0,811,0,0,21,0,0,0,0,0,0,11,10,1,0,9,14,5,0,0,0
233,0,0,0,0,0,0,0,13,2214,5006,2744,2837,0,0,0,0,8,210,0,0,0,1556,0,0,679,0,0,0,0,0,0,17,0,5,3,0,0,4,6,0,0
234,2,3,1,0,0,57,0,31,1354,3054,7570,7349,0,0,0,0,59,97,0,0,0,2371,163,0,678,1,0,69,0,0,0,78,477,0,3,1,1,19,3,28,11
241,0,372,572,651,1221,14,717,0,0,0,0,0,1201,16,9,0,177,241,313,394,0,19,0,0,159,0,0,0,0,22,0,0,2,0,0,0,0,0,0,2,0
242,0,0,0,28,0,0,0,0,0,0,0,0,865,259,85,0,19,20,11,4,0,41,0,0,288,0,0,0,0,0,0,0,13,0,0,2,12,3,0,0,0
243,0,0,0,0,0,0,25,0,0,0,0,0,2100,5485,4982,4617,46,306,7,0,0,552,0,6,1214,0,0,0,42,0,0,22,12,1,15,1,4,1,0,0,0
244,0,1,0,36,7,1,11,0,0,0,0,0,1450,3380,4757,5249,4,92,9,0,0,871,0,0,1675,0,3,0,32,0,0,35,168,14,4,81,44,77,31,7,2
312,4,1024,532,232,193,0,0,0,4,6,0,0,0,0,0,0,52,159,0,0,1,0,0,0,117,0,0,224,4,11,165,9,75,24,6,0,0,5,0,0,0
313,5,503,693,141,496,14,3,0,0,0,0,0,0,0,0,0,36,33,2,0,34,0,0,0,259,70,0,604,0,25,34,1,3,33,5,0,0,9,1,0,0
321,10,0,0,0,0,4608,5819,3842,0,0,0,0,29,0,0,0,0,0,8248,2739,1018,0,0,0,0,0,0,33,94,138,308,3,54,4,43,0,2,10,15,7,6
322,0,0,3,3,9,2965,1229,2780,319,0,0,0,125,0,0,0,0,0,745,6355,1811,34,0,0,0,0,0,0,65,244,38,0,25,0,11,0,0,4,0,3,0
323,3,232,343,56,61,281,333,338,4,0,0,0,95,0,0,0,0,0,26,228,6678,251,0,0,0,0,0,61,18,63,28,0,9,0,14,1,1,3,1,0,5
331,0,0,5,0,0,1,0,26,415,487,107,212,0,0,0,0,16,97,0,0,55,1117,45,0,0,0,0,106,0,0,0,8,6,0,0,0,0,0,0,0,0
332,0,0,0,0,0,1,0,0,184,150,13,25,16,129,113,84,0,0,0,0,47,287,7611,0,18,0,0,0,15,0,0,19,3,0,0,0,0,0,0,0,1
333,18,2,0,4,0,12,4,0,2,4,0,1,34,118,72,55,7,0,0,14,25,234,1423,9948,0,0,0,759,72,320,876,0,5,17,0,0,0,0,0,0,3
341,0,227,0,0,1,0,18,1,0,5,3,2,29,141,163,203,0,0,11,0,0,0,0,0,1755,7,0,161,64,0,0,0,41,0,0,0,0,4,0,0,0
342,1,60,0,1,7,2,0,1,139,0,1,1,97,87,83,119,0,0,0,0,0,0,0,0,594,7664,45,204,30,13,33,14,79,20,0,0,0,1,0,0,0
343,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45,1077,7948,462,50,292,268,0,14,29,1,0,0,2,0,0,0
411,15,16,2,0,0,20,0,66,348,1,0,0,206,29,5,24,0,0,0,0,6,19,60,21,73,0,14,4505,0,0,0,15,75,25,4,0,3,0,0,6,1
