classes,-1,211,212,213,214,221,222,223,231,232,233,234,241,242,243,244,312,313,321,322,323,331,332,333,341,342,343,411,421,431,441,511,521,531,541,611,621,631,641,651,661
-1,20386,3379,1110,96,143,1909,560,60,40,40,40,40,44,45,47,45,124,38,88,98,40,49,40,40,74,40,40,87,141,40,40,61,80,40,41,456,713,406,1049,106,676
211,0,1608,1842,131,2754,5,345,3,0,0,0,0,0,0,0,0,1000,870,463,57,103,0,0,0,0,0,0,2,0,0,16,0,0,0,0,0,0,0,0,0,0
212,1,523,1137,3655,777,0,0,0,0,0,0,0,11,0,0,0,1392,1647,1,0,15,0,0,0,25,0,0,29,2,22,34,0,2,0,0,0,0,0,0,0,0
213,4,729,1152,1396,824,1,0,3,122,3,4,3,209,7,3,10,2510,961,0,0,4,0,0,0,203,0,0,47,6,161,175,0,6,6,4,0,5,1,1,0,0
214,5,4164,2517,1300,2818,63,39,77,241,40,4,8,137,74,20,109,2685,1913,34,47,29,2,0,0,104,0,0,55,8,105,123,1,37,18,7,12,9,2,1,0,0
221,0,171,591,1156,981,41,77,214,464,0,0,0,112,0,0,0,374,428,233,50,20,20,0,0,0,0,0,2,2,4,3,0,0,0,0,0,0,0,0,0,0
222,0,0,2,0,0,129,48,434,79,0,0,0,18,0,0,0,44,7,29,8,22,110,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0
223,6,0,4,0,1,600,406,1091,62,7,7,5,15,73,4,21,3,8,151,428,109,120,0,0,70,0,0,73,29,23,10,5,16,2,0,0,1,1,3,0,0
231,0,109,446,0,0,212,0,1001,548,0,0,0,0,0,0,0,1082,1337,4,717,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,1,0,0,0,0
232,0,3,17,0,3,12,0,111,2497,570,0,0,0,0,0,0,133,195,26,69,1,596,0,0,25,0,0,1,0,0,0,0,7,0,0,0,14,0,0,0,0
233,9,5,208,6,4,11,12,41,4953,7459,5476,5583,0,41,1,17,329,729,26,59,6,2612,0,0,1321,0,0,82,5,4,4,86,8,13,1,23,2,15,7,0,4
234,8,23,66,7,14,40,13,41,779,1707,3968,3909,0,39,3,25,48,26,7,17,6,1511,0,0,444,1,0,12,19,11,9,66,95,14,3,0,2,6,2,14,3
241,1,236,462,1051,1191,0,1628,0,0,0,0,0,474,0,0,0,350,438,929,464,2,9,0,0,0,0,0,3,0,39,0,0,1,0,0,0,0,0,0,0,0
242,0,9,4,57,57,0,388,10,0,0,0,0,3355,212,0,0,39,72,25,11,31,138,0,0,367,0,0,31,18,1,0,0,3,0,0,1,7,0,0,0,0
243,2,28,23,454,60,6,118,30,93,0,0,1,4378,6883,5929,5342,258,1031,44,25,13,1236,5,1,2558,0,0,9,57,12,40,46,99,7,30,7,31,23,14,5,1
244,6,9,7,247,45,13,21,14,60,4,0,0,860,2426,3597,4130,31,72,31,18,16,637,1,0,1090,0,0,14,16,4,8,49,72,12,8,30,59,37,25,3,0
312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,9,103,311,102,124,6821,6133,6517,26,6,10,14,516,17,29,69,22,304,8223,7486,5293,185,1400,648,165,1874,535,439,184,384,315,2,172,25,70,13,8,24,17,9,8
321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,23,2,0,12,0,0,0,0,0,2,2
331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,38,557,473,277,224,763,266,556,16,9,8,7,347,646,836,694,51,58,122,260,3433,630,3946,4918,2252,4168,3739,2035,373,1127,2467,447,455,79,92,10,10,25,18,25,23
341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,13,108,187,311,163,386,671,118,210,640,969,918,15,24,22,25,53,221,65,446,1288,1739,3832,4450,548,2891,3062,1107,195,1444,1905,112,267,264,88,46,45,33,31,42,22
411,42,255,437,149,323,90,18,96,162,10,2,4,6,8,10,12,13,12,13,247,62,159,912,322,240,982,2881,4156,9175,6970,5089,176,1509,1020,1148,38,28,57,43,31,28
421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,3,0,0,0,0,0,0,0
511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521,38,52,25,74,42,45,18,114,103,17,23,27,14,18,19,31,24,18,35,44,32,395,392,84,836,558,214,1873,255,171,261,7844,5708,8310,8661,465,401,359,369,422,386
531,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,45,4,8,3,331,137,173,11,6,4,10,1,11,1
541,0,2,1,3,12,1,1,2,1,1,1,4,1,1,3,3,1,2,2,2,2,375,1,2,12,3,35,2,7,3,6,574,3,437,308,2,3,2,2,4,3
611,57,70,37,31,41,46,24,19,42,22,30,31,9,16,26,27,35,35,37,37,40,38,30,64,236,39,40,406,120,150,117,552,985,286,292,4835,4812,4829,4535,5335,5147
621,50,30,18,88,32,235,20,21,32,21,36,40,8,22,34,35,33,31,31,30,26,31,34,75,39,44,64,281,184,177,175,592,1130,425,378,5224,4958,5215,4787,5051,4814
631,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,6,5,0,1,185,193,225,239,148,122
641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,99,259,0,0,111,96,108,263,212,164
